"educ_yrs","age","month_interview","wealth_group","female","rural","earnings_usd","years_lived_elsewhere","christian_main","christian_evang","muslim","kikuyu"
4,29,12,3,1,1,75.31,5,1,0,0,0
5,34,2,3,0,1,153.2,8,0,0,0,0
3,35,5,1,1,0,139.47,4,0,0,0,1
10,25,3,5,0,0,170.41,4,1,0,0,0
6,20,7,5,0,0,64.4,3,0,0,0,0
4,23,11,3,1,0,95.31,7,0,1,0,0
4,21,3,1,0,1,98.94,10,1,0,0,0
8,17,3,4,0,0,73.5,9,0,0,1,0
8,19,1,5,1,0,82.31,4,0,0,0,1
3,37,2,4,0,1,127.13,6,1,1,0,1
6,22,2,1,1,0,74.97,8,0,0,0,0
0,49,6,5,0,1,328.35,9,1,0,1,0
8,19,8,1,1,1,3.57,0,1,0,0,0
1,33,8,2,1,0,66.56,1,1,1,0,1
2,27,4,2,1,0,56.81,6,0,0,1,0
7,19,5,3,1,1,42.89,4,0,1,1,0
0,29,8,5,0,1,51.48,4,0,0,0,0
0,26,3,3,1,1,28.22,5,0,0,0,0
6,44,2,4,0,0,524.9,5,0,0,0,0
9,24,5,3,1,1,50.73,6,1,0,1,0
4,34,2,4,1,0,149.38,4,1,0,0,0
0,28,8,2,1,0,5.49,2,0,1,0,0
0,25,10,1,0,0,37.5,10,1,1,0,0
7,25,9,5,0,1,73.06,5,1,1,0,0
7,23,9,2,0,0,96.26,8,1,0,0,0
11,54,3,4,0,0,2300.4,8,0,0,0,0
1,31,12,3,1,1,83.14,5,1,1,0,0
10,27,4,1,0,0,203.68,7,1,0,0,0
7,27,7,5,0,0,137.67,9,1,0,0,0
0,23,1,4,1,0,28.27,2,0,0,0,1
0,53,9,4,0,1,66.07,10,1,0,0,1
0,22,7,2,1,0,9.56,3,0,0,1,0
0,29,4,2,0,1,51.48,10,0,0,0,0
1,34,1,5,1,0,70.91,0,1,1,0,0
0,33,8,5,0,0,108.22,6,1,0,1,0
4,33,7,2,1,0,136.93,7,1,0,0,0
3,21,1,1,1,1,30.79,2,1,0,0,0
7,28,3,4,1,0,125.49,2,1,1,0,1
1,28,5,5,0,0,68.74,4,0,0,0,0
4,33,3,2,0,0,157.78,12,1,0,0,0
2,29,8,5,1,1,97.26,9,0,1,0,0
5,36,5,1,0,1,4.65,6,0,0,0,0
3,24,10,4,1,0,51.66,5,1,0,0,0
0,49,1,1,1,0,260.04,3,0,0,0,0
6,38,7,2,0,0,315.56,6,1,0,0,0
6,22,11,4,0,1,48.96,7,0,1,0,0
4,17,6,5,1,1,66.71,5,1,0,0,1
5,18,8,1,0,1,37.67,1,0,0,0,1
12,17,2,1,1,0,65.06,12,0,1,0,0
5,46,5,4,0,1,491.8,6,1,0,1,0
5,19,7,1,0,0,41.9,8,1,1,0,0
2,24,3,5,0,1,43.85,3,1,0,0,1
2,37,12,3,0,1,108.97,7,1,1,0,0
9,36,6,3,0,0,326.8,1,0,1,0,1
4,22,10,3,1,1,37.64,2,0,0,0,0
0,38,4,2,1,1,71.92,9,1,1,0,0
8,41,11,4,0,1,413.31,1,1,0,0,0
6,19,11,2,0,1,47.02,5,1,0,0,1
7,39,12,5,0,0,69.39,2,1,0,0,0
18,51,8,1,0,0,3648.16,9,0,1,0,0
3,22,10,1,1,1,95.41,3,1,0,1,0
2,45,1,3,1,0,266.76,1,1,0,0,0
1,49,6,1,1,1,7.96,3,1,1,0,0
2,30,2,4,0,0,75.88,5,0,1,0,0
0,38,2,2,0,1,91.45,5,1,1,0,0
2,27,9,4,0,1,64.73,5,0,0,1,0
10,35,11,4,0,1,320.93,2,1,0,0,0
0,46,3,2,1,1,8.74,1,0,1,0,0
6,33,9,2,0,0,166.34,2,1,1,0,0
5,30,6,2,1,1,98.37,12,1,0,0,0
10,29,4,4,1,1,220.32,7,1,0,0,0
4,25,6,4,1,0,54.86,7,1,1,0,0
10,30,6,3,0,1,239.83,1,0,0,1,0
7,28,1,5,0,1,117.52,3,1,0,0,0
5,24,3,4,1,0,59.99,1,1,1,0,0
6,21,8,3,1,0,58.67,3,1,0,1,0
4,25,5,2,0,1,60.82,0,0,0,0,0
0,36,9,5,1,1,67.83,0,1,0,0,0
4,32,5,5,0,1,93.9,0,0,1,0,1
6,55,12,3,0,1,823.61,2,1,1,0,0
7,28,1,4,0,1,120.33,10,0,0,0,1
6,21,1,1,0,1,55.09,0,1,0,0,0
0,31,6,2,0,1,61.39,0,1,0,0,0
9,42,6,3,0,0,545.5,1,1,1,0,1
3,18,10,3,0,1,63.93,14,0,0,0,0
3,31,2,3,1,1,75.09,10,1,0,0,0
6,28,9,2,1,0,126.22,4,0,0,0,0
0,24,12,4,0,1,32.99,5,1,0,0,0
2,44,7,5,1,1,22.97,3,1,1,0,0
3,31,3,3,0,1,90.82,7,1,0,0,0
8,30,6,2,1,0,215.38,4,0,0,0,0
6,19,9,1,0,1,43.12,4,0,1,1,0
8,21,1,4,1,0,11.7,6,1,0,0,1
5,22,4,4,1,1,48.2,4,1,0,0,0
0,39,11,5,0,1,122.68,13,1,0,0,0
1,59,1,5,0,0,931.6,12,0,0,0,0
11,27,4,4,0,0,268.32,9,0,0,1,0
9,25,5,5,0,1,17.28,1,0,1,1,0
0,34,2,2,0,1,79.76,8,0,0,0,0
4,39,5,5,0,0,264.75,6,0,0,0,0
4,25,1,2,0,0,94.05,13,0,0,0,0
5,25,1,1,1,1,63.12,10,1,0,0,0
5,20,4,1,0,1,36.91,4,1,1,0,0
3,43,10,2,0,1,206.89,13,1,1,0,0
12,24,7,1,0,0,72.55,0,1,1,0,0
2,30,2,2,0,1,59.27,0,0,1,0,0
4,27,11,2,0,0,95.28,11,1,0,0,1
12,48,12,4,0,0,1641.77,1,0,0,0,1
3,42,9,2,1,1,194.81,10,0,0,1,0
3,17,10,4,1,0,33.68,5,1,0,0,0
5,29,6,1,0,0,129.61,6,0,0,0,1
10,26,6,4,0,1,121,3,0,1,0,1
1,20,8,1,1,1,19.66,1,1,0,0,0
8,29,3,4,0,1,146.29,1,0,0,0,0
12,38,7,5,1,0,887.79,9,0,0,1,0
9,21,1,5,1,1,90.07,3,1,0,0,0
13,19,6,2,0,1,97.62,3,1,0,0,1
6,60,2,5,0,1,1549.5,6,1,0,0,1
0,40,3,3,1,1,95.55,0,1,0,0,0
6,26,3,1,1,1,67.02,5,1,1,0,0
2,24,2,2,1,1,67.55,5,1,0,0,0
0,22,8,4,0,1,36.73,7,0,0,0,0
0,32,1,5,1,0,61.35,0,1,0,0,0
13,25,6,3,0,0,258.13,0,1,0,0,1
4,30,3,3,0,1,109.58,4,0,0,1,0
4,36,12,5,0,0,204.65,13,0,0,0,0
10,32,2,3,0,1,285.82,8,1,0,1,0
7,18,8,3,0,0,49.65,5,1,1,0,0
4,20,3,2,0,0,40.28,2,0,1,0,0
6,45,5,2,1,0,548.93,1,1,0,1,0
0,23,3,1,1,0,22.42,3,1,1,0,0
6,28,5,4,1,1,18.98,3,1,0,0,0
4,52,7,1,1,1,93.01,8,0,1,0,0
1,40,11,2,1,1,114.96,3,0,0,1,0
8,37,3,4,0,0,352.99,7,0,1,1,0
0,18,5,4,1,0,17.54,10,0,0,0,0
0,25,3,1,0,1,63.58,4,1,0,1,0
1,28,12,2,1,1,54.1,0,0,0,0,0
18,17,9,2,0,0,271.19,10,0,0,1,0
8,37,7,4,0,1,293.72,1,0,0,0,0
10,32,5,4,0,1,200.73,1,1,1,0,0
5,27,12,2,1,1,75.44,7,0,0,0,0
0,21,7,1,0,1,29.1,11,1,0,1,0
0,49,7,5,1,1,164.93,10,0,1,0,0
0,30,6,2,0,1,56.22,4,0,0,0,0
10,19,4,5,1,0,93.35,4,1,1,0,0
0,23,10,4,0,1,24.48,4,0,1,0,0
0,56,9,1,1,1,359.29,3,1,0,0,0
6,31,3,5,0,1,137.56,5,0,0,0,1
7,17,1,3,0,0,45.3,1,0,1,0,0
4,33,11,4,0,0,83.15,5,0,0,1,0
0,21,12,5,1,1,18,2,1,0,0,0
0,31,1,3,1,0,45.64,1,0,1,0,0
8,19,1,3,1,0,65.27,8,0,1,0,0
0,25,8,3,0,1,41.71,0,0,0,1,0
2,23,2,3,0,0,50.12,11,0,0,0,0
2,36,9,3,0,1,126.07,7,0,0,0,1
0,36,2,4,1,0,86.83,1,0,0,0,0
0,41,4,3,1,1,84.47,6,1,1,0,0
7,27,11,4,0,0,24.65,8,1,0,0,0
6,22,7,2,0,0,72.47,9,0,1,1,0
4,30,3,2,1,0,93.6,7,1,0,0,0
4,43,1,3,1,0,66.19,8,0,0,0,1
0,31,7,2,1,1,57.31,5,0,0,0,0
6,18,8,1,0,1,41.92,5,1,0,0,0
0,22,6,3,0,1,48.42,2,1,0,0,0
5,41,9,2,0,0,297.33,4,1,1,0,1
13,26,8,3,1,0,66.57,0,0,1,0,1
6,24,5,1,0,1,72.2,5,1,0,0,0
2,34,3,5,1,1,31.5,8,1,0,0,0
6,30,1,3,1,1,117.64,4,0,0,0,0
11,22,11,2,0,1,94.05,6,0,1,0,0
7,24,9,4,1,1,20.4,2,0,0,0,0
7,41,11,3,1,0,477.01,6,1,0,0,1
3,37,10,1,0,1,143.55,8,0,1,1,0
0,21,8,5,0,0,32.22,3,1,0,0,0
6,38,11,5,1,1,59.35,9,1,0,0,0
6,34,12,1,1,0,15.92,0,0,0,0,1
2,30,11,4,0,0,10.25,3,0,0,1,0
7,27,12,4,1,1,107.9,7,0,0,0,0
14,19,6,1,0,1,130.51,1,0,0,0,0
14,28,2,2,0,1,293.08,6,1,0,0,0
1,29,2,2,0,1,58.66,6,0,0,0,0
4,37,7,2,0,1,174.24,1,1,0,0,0
5,34,11,5,0,1,15.35,2,0,0,0,0
2,19,10,3,1,1,21.98,6,0,0,0,1
0,25,1,1,1,0,87.5,2,0,0,0,0
5,23,8,1,0,0,74.14,2,0,0,0,0
11,40,3,5,0,0,583.82,5,1,1,0,0
2,20,11,1,1,1,23.51,13,1,0,0,0
0,30,1,1,1,1,61.05,5,1,0,0,1
4,35,6,4,1,0,162.91,0,1,0,0,0
2,21,3,4,1,0,32.96,8,0,0,0,0
5,20,11,5,0,0,68.33,11,1,0,0,0
7,22,7,3,1,0,71.66,5,1,1,0,0
1,43,3,5,0,0,251.23,0,0,0,0,0
2,49,4,2,1,0,301.97,5,1,1,0,0
2,31,9,5,1,1,75.48,8,0,0,0,0
8,26,7,1,1,0,154.73,8,0,0,0,1
0,48,1,4,0,1,302.31,8,0,0,1,0
6,22,1,4,1,1,47.92,14,1,1,0,1
9,19,7,2,0,1,67.95,5,1,0,0,0
3,20,11,5,0,0,43.53,11,1,0,0,0
0,22,5,3,0,1,27.55,3,0,0,0,0
0,30,2,4,1,1,14.81,5,0,0,0,0
2,40,12,4,1,0,22.6,1,0,1,0,0
0,27,1,3,1,1,31.58,10,0,0,0,1
0,27,5,5,0,1,44.15,2,0,0,0,1
6,33,8,5,1,0,57.57,3,0,1,0,0
5,24,4,3,0,0,74.75,7,0,1,0,0
0,35,7,5,1,0,79.64,5,0,0,0,0
12,21,4,2,0,0,154.34,5,1,0,0,0
8,37,2,1,0,1,293.72,5,1,0,0,0
3,28,12,2,0,0,89.25,10,0,0,0,0
7,45,8,5,0,0,650.38,3,1,0,0,0
3,36,3,3,0,1,143.65,2,1,0,0,1
3,25,3,3,1,0,66.94,2,0,0,0,0
5,32,8,1,0,1,148.8,13,1,0,1,0
3,22,6,3,1,1,56.17,8,0,0,0,0
0,19,10,4,1,0,19.33,3,0,0,1,0
0,24,8,1,1,0,24.52,9,0,1,0,0
0,32,11,4,1,0,50.12,5,1,1,1,0
2,38,11,2,0,1,146.23,8,1,0,0,0
2,22,5,2,0,1,29.05,10,1,1,0,0
0,46,12,2,0,1,221.45,0,0,0,0,0
0,28,4,1,1,1,7.24,4,1,0,1,0
6,43,1,4,1,0,461.32,9,1,0,0,0
3,21,3,4,1,0,32.2,10,1,1,1,0
3,18,8,1,1,0,29.99,10,0,0,0,0
4,22,5,4,0,0,59.46,7,0,0,0,0
0,22,4,3,1,0,67.28,4,1,0,0,0
9,53,6,2,0,1,1036.15,2,1,1,0,0
7,41,12,5,1,0,477.01,1,0,0,0,1
3,42,6,2,1,0,247.9,2,0,0,0,0
0,17,5,1,1,0,16.1,5,1,0,1,0
7,28,1,4,1,0,122.56,12,1,1,0,0
6,25,9,3,0,0,116.88,9,1,0,1,0
0,41,3,4,1,1,30.95,2,1,0,0,1
3,19,7,5,0,1,25.81,3,1,1,0,1
0,40,4,3,0,1,111.07,1,1,1,0,1
12,17,6,5,0,0,87.02,11,1,1,0,0
0,58,2,4,0,0,754.93,6,1,0,0,0
6,20,6,2,0,1,40.85,5,0,1,0,0
7,21,3,5,0,0,80.35,4,1,0,0,0
2,27,6,3,0,0,71.67,3,1,0,0,0
6,43,8,1,0,0,557.93,10,1,0,1,0
2,41,9,1,0,0,196.29,7,1,1,0,0
0,30,9,5,1,0,55.38,1,1,1,0,0
5,19,3,3,1,0,38.16,6,1,1,0,0
9,36,2,3,0,1,307.07,7,1,0,0,0
0,27,1,3,0,1,44.15,4,1,0,0,1
0,19,7,3,1,1,15.01,4,0,0,0,0
12,18,6,1,1,1,120.03,0,0,0,0,1
0,23,9,2,1,1,21.7,1,0,0,1,0
2,29,2,1,0,0,69.48,6,0,1,0,0
0,24,4,3,1,1,24.16,8,0,0,0,1
12,18,10,1,0,0,92.12,14,0,1,0,1
0,40,7,1,0,1,108.48,5,1,1,0,0
5,17,8,3,0,0,40.34,8,1,1,1,0
3,24,5,5,0,1,45.81,4,1,1,1,0
0,38,6,5,1,0,83.73,7,0,1,0,0
7,56,7,1,0,0,1603.8,2,1,0,0,0
6,44,9,5,1,0,504.81,8,1,0,1,0
5,24,2,2,0,0,93.78,1,0,0,1,0
6,26,9,5,0,1,71.78,10,1,1,0,1
4,22,4,4,0,0,59.46,9,0,0,0,0
3,27,5,4,1,1,54.01,0,1,0,0,1
6,39,10,2,0,0,285.77,1,0,1,0,1
3,31,9,5,0,1,75.5,2,1,1,0,1
6,37,1,1,1,1,216.26,4,0,0,0,0
8,30,4,4,0,0,204.53,4,1,0,0,0
0,32,8,3,1,0,61.35,1,1,0,0,0
0,26,10,2,1,0,16.29,3,1,1,0,0
0,50,1,2,0,1,308.38,8,1,0,0,0
4,30,7,3,1,1,21.06,2,1,0,1,0
8,35,8,1,0,0,323.99,0,1,0,0,1
6,19,4,1,0,1,36.07,2,1,0,0,0
0,33,4,1,0,0,76,3,1,1,0,0
6,21,6,2,0,0,81.53,8,1,0,1,0
4,24,7,1,1,0,63.25,9,1,0,0,1
1,50,1,4,0,1,285.31,7,1,1,0,0
0,39,6,4,1,0,91.76,10,0,1,1,0
0,28,3,1,1,1,33.7,1,1,0,0,0
8,39,9,3,0,0,446.3,5,0,0,0,0
12,25,11,2,1,0,31.24,13,1,1,0,0
4,18,6,5,0,0,33.56,4,1,1,0,0
7,41,9,3,1,1,372.62,6,1,0,0,1
4,19,5,3,0,0,52.36,4,1,0,1,0
4,25,8,4,1,1,64.12,6,0,1,0,0
12,22,11,3,0,0,168.96,1,0,0,0,0
1,18,11,2,1,1,80.11,7,0,1,0,0
12,18,8,3,1,0,150.07,4,1,0,0,0
0,18,7,2,0,1,22.14,0,0,0,1,0
0,25,12,3,1,0,43.59,10,1,1,0,0
8,25,12,2,1,1,18.03,0,0,0,0,0
14,19,8,2,0,1,133.63,9,1,0,0,1
10,20,3,3,1,0,125.93,4,0,0,0,0
7,32,8,3,0,1,193.2,6,1,0,1,0
0,53,7,5,1,1,281.88,6,1,0,0,0
5,20,5,5,1,1,40.21,3,1,0,0,0
3,24,11,1,0,1,48.8,3,1,0,0,0
6,33,6,2,1,1,152.98,5,1,0,0,0
12,46,11,3,1,0,1776.62,0,0,0,0,1
0,36,5,2,1,0,70.93,4,1,1,1,0
4,24,4,5,0,1,64.29,3,0,0,1,0
3,26,12,1,0,1,88.69,3,0,0,0,0
0,19,12,4,1,0,19.33,1,1,0,1,0
2,32,11,4,0,0,111.37,9,0,0,0,0
1,39,1,1,0,0,43.49,10,0,0,1,0
1,23,8,3,0,1,35.18,3,0,0,0,1
0,19,10,1,0,1,27.82,2,0,0,0,0
7,27,11,4,1,0,138.13,1,1,0,0,0
4,24,9,1,1,1,48.26,7,0,0,0,0
0,35,8,5,1,1,63.7,12,0,0,0,1
4,29,12,3,0,0,7.68,8,0,0,0,0
7,46,5,2,0,1,552.28,11,1,0,0,0
2,21,10,1,1,0,32.96,2,0,0,0,0
4,22,10,4,1,1,40.31,12,0,0,0,0
0,52,9,4,1,0,332.61,9,0,0,0,0
6,20,5,1,1,0,22.83,10,0,0,1,0
4,23,5,1,1,0,56.47,4,1,0,0,0
8,18,11,5,1,0,44.17,0,0,1,0,1
7,17,2,3,1,0,45.45,12,1,1,0,0
7,47,3,3,1,0,4.25,12,0,0,1,0
4,40,7,1,1,0,93.45,5,1,0,0,1
9,27,4,1,0,1,33.95,3,0,0,0,1
1,65,8,1,1,0,65.68,4,0,1,0,0
5,19,12,5,1,1,36.93,7,0,0,1,0
6,18,12,1,0,0,44.61,2,1,1,0,1
9,32,10,1,0,1,216.96,12,0,0,0,0
7,32,10,4,0,1,156.87,3,1,1,1,0
3,27,2,3,0,1,63.8,1,0,0,0,0
1,42,9,2,1,0,71.4,2,1,0,0,0
5,21,2,3,0,0,31.29,9,1,1,1,0
6,33,4,5,1,1,152.98,9,1,0,0,0
3,44,9,1,1,1,230.55,2,1,0,1,0
12,32,6,4,1,0,50.76,6,1,0,1,0
12,36,5,4,0,0,581.56,1,1,0,0,0
3,29,9,5,0,0,79.17,1,1,1,0,0
0,21,10,1,1,1,18.11,4,0,0,1,0
12,21,4,3,0,1,123.44,3,0,0,0,1
4,38,11,5,1,1,19.84,12,1,1,0,0
6,31,5,3,1,0,87.96,3,1,1,0,0
0,29,5,4,0,0,65.9,11,1,0,0,0
5,24,7,3,1,1,46.86,5,1,1,0,0
0,34,10,5,1,1,46.32,6,0,1,0,0
0,26,11,2,1,1,28.39,0,1,0,1,0
12,17,11,2,0,0,18.5,4,0,0,0,0
1,17,9,4,0,1,19.91,10,1,0,0,0
2,22,12,2,0,0,37.18,6,0,1,0,0
2,44,9,4,0,1,8.87,6,0,1,0,0
2,29,8,3,0,1,54.27,12,1,1,0,0
8,24,7,1,0,1,93.74,2,1,0,0,0
4,24,5,3,1,1,48.26,3,1,0,0,0
1,43,4,3,0,0,208.86,1,0,1,0,1
0,53,3,2,1,1,230.25,6,0,1,1,0
3,26,5,3,0,1,15.93,4,1,0,0,0
0,20,11,1,1,1,16.44,13,0,0,0,0
10,46,10,3,1,1,947.74,6,1,0,0,0
0,33,9,3,0,1,6.82,11,1,0,0,0
9,25,3,4,0,1,135.07,1,1,0,1,0
11,22,2,3,1,0,150.07,6,1,1,0,1
12,20,5,4,0,0,114.45,12,0,1,0,0
0,31,2,4,0,1,49.84,10,1,1,0,0
3,19,2,4,0,1,31.04,5,0,0,0,0
3,27,7,4,1,0,54.83,2,0,1,0,0
3,24,9,4,0,1,49.97,4,0,0,0,1
0,17,9,2,0,1,20.21,9,1,0,1,0
2,26,11,5,1,1,32.96,3,1,1,1,0
4,30,11,4,1,1,68.38,2,1,1,0,1
7,20,2,1,0,0,59.58,1,1,1,0,0
1,34,4,1,1,1,68.22,8,0,0,0,0
8,17,10,4,0,1,30.18,5,1,0,0,0
7,20,12,3,0,1,58.69,1,1,0,0,1
6,26,11,1,0,0,25.85,1,0,0,0,0
11,25,6,4,0,1,17.65,2,1,1,0,0
6,19,9,2,1,1,44.17,5,1,0,1,0
5,21,2,4,1,1,44.03,3,0,0,0,0
1,27,6,1,0,1,49.14,4,0,0,0,0
0,18,4,1,1,1,30.65,10,0,0,0,0
2,33,5,3,0,1,77.08,2,1,1,0,0
8,38,10,4,1,0,350.31,3,1,1,0,0
3,19,10,5,1,0,84.34,6,1,1,0,0
2,35,4,5,1,1,72.25,9,1,1,0,0
0,33,1,4,0,0,93.6,2,1,0,0,0
0,21,12,1,1,1,18,0,0,0,0,0
6,19,11,2,1,0,45.64,1,1,1,0,0
4,18,12,5,0,1,7.53,4,1,0,0,0
3,45,9,5,1,0,64.92,1,1,1,0,0
4,39,3,5,0,1,206.81,2,0,0,0,0
2,38,7,2,0,0,187.2,9,0,0,0,0
0,33,7,2,0,1,73.12,3,1,0,0,0
3,46,3,5,0,1,23.5,4,1,0,0,0
0,17,11,3,0,1,86.69,6,1,0,0,0
2,41,7,2,0,1,188.84,4,1,0,0,0
12,19,3,5,0,1,100.52,8,1,0,0,0
0,32,12,3,1,1,48.21,4,1,0,1,0
7,22,5,5,1,0,90.36,7,1,0,0,1
0,19,6,3,0,1,40.67,1,1,1,0,0
4,18,7,5,0,0,77.87,8,0,0,0,0
0,33,3,5,1,1,41.48,1,0,0,0,1
1,22,8,5,1,1,54.71,5,0,0,0,1
7,30,11,4,1,0,180.1,5,1,0,0,0
4,21,8,4,0,1,42.43,11,0,0,0,0
7,23,10,5,0,1,70.59,3,0,1,1,0
12,21,10,4,1,0,38.54,3,1,0,1,0
9,34,12,2,1,1,65.52,1,0,0,0,0
1,44,4,1,0,1,173.33,4,1,1,0,0
5,46,10,2,1,0,412.35,1,0,1,0,1
0,38,10,5,0,0,144.18,9,1,0,0,0
0,50,11,4,1,0,38.01,8,1,0,0,1
14,27,3,3,0,0,343.34,3,0,0,0,0
5,25,11,5,0,1,70.96,10,0,0,0,1
12,33,4,5,0,0,459.08,2,1,0,0,1
5,31,4,2,1,0,137.49,1,1,0,0,0
6,20,7,3,1,1,48.09,9,0,0,0,0
6,30,10,3,0,0,127.91,2,1,1,0,0
2,28,5,2,0,1,53.92,1,1,0,1,0
2,19,6,4,0,0,61.41,4,0,0,0,0
8,23,11,3,1,1,90.22,9,1,0,0,0
3,18,6,3,0,1,23.21,5,1,0,0,0
11,27,5,2,0,1,150.71,9,0,1,0,1
7,33,2,2,1,0,42.77,6,1,0,1,0
8,44,12,5,0,1,615.49,9,1,0,1,0
0,25,2,1,1,1,92.55,3,1,0,0,0
0,64,2,5,0,1,24.27,3,0,0,1,0
3,44,5,3,0,0,333.08,6,1,1,1,0
1,34,5,1,0,0,116.35,4,0,0,0,0
14,24,3,2,0,0,213.26,13,1,1,0,0
4,35,1,3,0,1,15.87,3,1,0,0,0
3,26,3,3,1,0,61.78,2,1,0,0,0
0,20,3,2,0,0,23.89,5,1,1,0,0
0,20,6,5,1,0,21.05,6,0,0,0,0
2,25,11,2,0,1,46.84,1,1,0,0,0
0,35,10,3,0,0,104.54,12,0,1,1,0
5,54,12,2,1,1,747.82,5,1,0,0,0
0,18,4,3,0,0,19.91,4,1,1,0,0
2,18,4,5,1,0,42.11,3,1,0,0,0
9,28,5,5,1,0,64.32,11,0,0,0,1
12,26,7,5,1,0,250.98,9,1,1,0,0
1,26,12,2,1,1,27.56,3,0,1,1,0
4,43,2,1,0,0,371.68,1,0,0,0,0
12,23,7,4,0,1,117.28,3,1,1,0,0
2,50,9,3,1,0,327.89,9,0,1,0,0
12,23,8,5,0,0,213.78,1,1,0,1,0
11,31,8,1,1,0,66.81,7,0,1,0,0
0,26,3,3,0,1,39.45,6,1,0,0,0
0,35,4,1,1,1,62.21,7,1,0,0,0
12,17,11,5,0,0,109.73,8,1,0,0,1
12,18,7,4,1,0,124.76,3,1,1,0,1
0,59,8,2,0,1,638.65,0,0,0,0,0
4,21,9,4,0,0,54.31,2,1,0,0,0
0,36,2,4,1,1,67.83,1,1,0,0,0
3,48,6,5,1,0,409.48,2,1,0,0,0
1,24,4,2,0,0,58.62,7,1,1,0,0
0,27,3,4,0,1,43.12,10,1,0,0,0
1,47,8,3,0,1,274.23,12,0,0,0,0
6,21,9,3,1,1,33.96,13,1,1,1,0
7,23,10,5,0,1,75.19,8,1,0,0,0
0,23,8,4,0,0,44.63,6,1,0,1,0
8,42,12,4,1,0,495.33,7,1,1,1,0
2,20,12,3,1,0,30.1,7,1,0,0,0
9,17,5,4,0,1,56.59,9,1,0,0,0
0,53,8,4,1,1,18.95,13,1,1,0,0
6,29,1,5,1,1,45.67,9,0,1,1,0
1,22,5,1,1,1,19.13,7,0,1,0,0
1,19,5,4,1,0,7.32,4,1,1,0,0
8,22,6,1,0,1,73.5,4,1,1,1,0
5,45,6,2,0,1,28.11,3,0,0,0,0
6,22,9,2,0,0,89.25,1,0,0,1,0
3,21,12,5,1,1,25.15,4,0,1,1,0
4,40,10,3,1,0,256.18,6,0,0,0,1
6,20,1,3,0,0,74.46,1,1,0,1,0
8,22,1,4,0,0,81.38,1,0,1,0,0
0,27,4,3,0,0,90.73,7,1,0,1,0
2,24,1,2,0,0,20.5,13,1,0,1,0
5,43,2,3,0,1,45.8,12,1,1,0,1
3,50,11,2,0,0,675.24,10,1,0,1,0
7,21,3,3,0,1,62.77,4,1,0,0,0
2,32,9,5,0,1,70.64,2,1,1,0,0
0,32,2,2,1,1,48.21,4,1,0,1,0
3,37,1,4,0,1,152.92,4,0,0,0,0
8,21,10,3,0,1,58.07,5,0,1,0,0
5,35,3,5,1,1,88.17,11,0,0,0,0
0,33,12,4,1,1,52.29,0,1,0,0,0
